No,Year_of_survey,District,lat,lon,CBSD_Severity,CBSD_Incidence,CMD_Mean_Severity ,CMD Incidence,Adult_Whitefly_Population,Mean_adult_whitefly_per_Plant
129,2008,Kasese,0.0793,29.90487,2,3.3,2,10,94,6.3
130,2008,Kasese,0.03842,29.85284,0,0,0,0,14,0.9
131,2008,Kasese,0.072,29.8914,2.2,16.7,0,0,683,45.5
132,2008,Kasese,0.07011,29.8899,2.5,80,0,0,57,3.8
133,2008,Kasese,0.08423,29.9151,2,16.7,0,0,43,2.9
134,2008,Kasese,0.02307,29.84354,2.8,16.7,2,3.3,21,1.4
135,2008,Kasese,0.01217,29.75671,2,23.3,0,0,9,0.6
136,2008,Kasese,0.01552,29.77452,0,0,3.28,83.3,20,1.3
137,2008,Kasese,0.00152,29.76335,0,0,2.71,46.7,14,0.9
138,2008,Kasese,0.00429,29.74894,0,0,2.5,20,35,2.3
139,2008,Kasese,0.03701,29.76831,2.9,60,0,0,62,4.1
140,2008,Kasese,0.03533,29.7349,2,16.7,0,0,152,10.1
141,2008,Kibaale,0.78596,31.30954,0,0,3,6.7,12,0.8
142,2008,Kibaale,0.80118,31.33039,2,16.7,0,0,112,7.5
143,2008,Kibaale,0.81594,31.33514,0,0,0,0,21,1.4
144,2008,Kibaale,0.75543,31.32051,2.3,40,0,0,154,10.3
145,2008,Kibaale,0.77545,31.20762,0,0,2.4,16.7,305,20.3
146,2008,Kibaale,0.7716,31.22359,0,0,0,0,33,2.2
147,2008,Kibaale,0.77793,31.25362,0,0,3.09,36.7,150,10
148,2008,Kiboga,1.18888,31.56455,0,0,2.79,80,175,11.7
149,2008,Kiboga,1.14736,31.57963,0,0,0,0,41,2.7
150,2008,Kiboga,1.14224,31.60286,0,0,3.66,96.7,29,1.9
151,2008,Kiboga,0.8938,31.77658,0,0,0,0,26,1.7
152,2008,Kiboga,0.87851,31.84216,0,0,2.67,20,48,3.2
153,2008,Kitgum,3.27812,33.01342,0,0,3,100,18,1.2
154,2008,Kitgum,3.2555,33.02596,0,0,0,0,16,1.1
155,2008,Kitgum,3.259,33.07534,0,0,0,0,39,2.6
156,2008,Kitgum,3.25742,33.08646,0,0,0,0,31,2.1
157,2008,Kitgum,3.2665,33.20404,0,0,0,0,17,1.1
158,2008,Kitgum,3.27008,33.21618,0,0,0,0,13,0.9
159,2008,Kitgum,3.2507,32.90977,0,0,0,0,7,0.5
160,2008,Kitgum,3.23024,32.91795,0,0,0,0,22,1.5
161,2008,Kitgum,3.37013,32.87833,0,0,2.17,76.7,6,0.4
162,2008,Kitgum,3.33925,32.89625,0,0,0,0,16,1.1
163,2008,Kitgum,3.45568,32.84575,0,0,3.23,73.3,18,1.2
164,2008,Kitgum,3.41952,32.83507,0,0,0,0,15,1
165,2008,Kitgum,3.31566,32.83209,0,0,0,0,5,0.3
166,2008,Kitgum,3.35778,32.72681,0,0,3,50,3,0.2
167,2008,Kitgum,3.40874,32.60285,0,0,3.48,76.7,16,1.1
168,2008,Kitgum,3.44517,32.56338,0,0,3.54,90,15,1
169,2008,Kitgum,3.45712,32.53767,0,0,3.21,93.3,15,1
170,2008,Kitgum,3.44788,32.47095,0,0,2.57,100,0,0
171,2008,Kitgum,3.33245,32.91113,0,0,0,0,52,3.5
172,2008,Kitgum,3.35828,32.94295,0,0,0,0,11,0.7
173,2008,Koboko,3.44228,31.02188,0,0,2.9,33.3,16,1.1
174,2008,Koboko,3.46325,31.04704,0,0,3.42,63.3,20,1.3
175,2008,Koboko,3.44436,31.0349,0,0,0,0,7,0.5
176,2008,Koboko,3.46591,31.05191,0,0,2,3.3,28,1.9
177,2008,Koboko,3.4967,31.02373,0,0,2.83,60,4,0.3
178,2008,Koboko,3.4857,31.01519,0,0,2.79,46.7,11,0.7
179,2008,Koboko,3.53032,30.88935,0,0,0,0,16,1.1
180,2008,Koboko,3.54609,30.89002,0,0,3.33,60,11,0.7
181,2008,Koboko,3.43446,30.96141,0,0,2.67,20,7,0.5
182,2008,Koboko,3.45363,30.95458,0,0,3.2,100,10,0.7
183,2008,Koboko,3.46824,30.9445,0,0,3.11,80,26,1.7
184,2008,Koboko,3.48349,30.95879,0,0,0,0,7,0.5
185,2008,Koboko,3.38304,30.95599,0,0,3.25,13.3,21,1.4
186,2008,Koboko,3.36133,30.9556,0,0,2,96.7,15,1
187,2008,Koboko,3.39277,30.97957,0,0,3,90,21,1.4
188,2008,Koboko,3.394,31.00907,0,0,2.75,13.3,14,0.9
189,2008,Koboko,3.38884,31.05854,0,0,2,3.3,13,0.9
190,2008,Koboko,3.3992,31.07122,0,0,0,0,18,1.2
191,2008,Koboko,3.43384,31.05325,0,0,2.89,30,11,0.7
192,2008,Koboko,3.41393,31.07963,0,0,2,3.3,67,4.5
193,2008,Kumi,1.80801,33.8848,0,0,0,0,7,0.5
194,2008,Kumi,1.28734,33.87155,2,73.3,0,0,28,1.9
195,2008,Kumi,1.30938,33.88099,0,0,0,0,112,7.5
196,2008,Kumi,1.36257,33.90038,0,0,2.27,36.7,59,3.9
197,2008,Kumi,1.41551,33.92144,0,0,2.43,20,24,1.6
198,2008,Kumi,1.41806,33.92189,0,0,3,3.3,7,0.5
199,2008,Kumi,1.49817,33.94912,2,100,0,0,11,0.7
200,2008,Kumi,1.55069,34.00092,0,0,0,0,26,1.7
201,2008,Kumi,1.58289,34.02296,0,0,2,100,76,5.1
202,2008,Kumi,1.52725,34.02045,0,0,2,13.3,10,0.7
203,2008,Kumi,1.41202,34.05404,0,0,0,0,10,0.7
204,2008,Kumi,1.38063,34.05659,0,0,0,0,11,0.7
